日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间
2020-11-06,003018,金富科技,塑料制品,7.950372734122237,9.54373255893599,7.950372734122237,9.54373255893599,7.950372734122237,652981,6231876.03,1.0046,,,否,,,,,,否,260000000,65000000,2481370465.32,620342616.33,,,,1.91,0.95,0.47,0.32,0.16,0.08,0.04,2020-11-06,-
2020-11-09,003018,金富科技,塑料制品,10.496463175834936,10.496463175834936,10.496463175834936,10.496463175834936,10.496463175834936,147772,1551083.36,0.2273,,,否,,,,,,是,260000000,65000000,2729080425.72,682270106.43,,,,4.01,2.00,1.00,0.66,0.34,0.16,0.08,2020-11-06,-
2020-11-10,003018,金富科技,塑料制品,11.555965327386351,11.555965327386351,11.555965327386351,11.555965327386351,11.555965327386351,126717,1464337.26,0.1949,,,否,,,,,,是,260000000,65000000,3004550985.12,751137746.28,,,,6.31,3.17,1.58,1.06,0.52,0.26,0.12,2020-11-06,-
2020-11-11,003018,金富科技,塑料制品,12.705812623643698,12.705812623643698,12.705812623643698,12.705812623643698,12.705812623643698,190658,2422464.82,0.2933,,,否,,,,,,是,260000000,65000000,3303511282.15,825877820.54,,,,8.86,4.43,2.22,1.48,0.74,0.37,0.18,2020-11-06,-
2020-11-12,003018,金富科技,塑料制品,13.978857844500048,13.978857844500048,13.978857844500048,13.978857844500048,13.978857844500048,384596,5376212.81,0.5917,,,否,,,,,,是,260000000,65000000,3634503039.57,908625759.89,,,,11.66,5.83,2.91,1.95,0.97,0.48,0.23,2020-11-06,-
2020-11-13,003018,金富科技,塑料制品,15.3751009899554,15.3751009899554,12.582614699044697,13.026127227601101,12.582614699044697,34348590,447429103.43,52.8440,,,否,,,,,,否,260000000,65000000,3386793079.18,846698269.79,,,,12.35,7.13,3.57,2.37,1.19,0.59,0.29,2020-11-06,-
2020-11-16,003018,金富科技,塑料制品,12.336218849846693,12.615467478937763,11.991264660969488,12.34443204481996,11.991264660969488,20805487,256831920.43,32.0084,,,否,,,,,,否,260000000,65000000,3209552331.65,802388082.91,,,,12.72,8.37,4.18,2.79,1.40,0.70,0.34,2020-11-06,-
2020-11-17,003018,金富科技,塑料制品,12.303366069953627,12.303366069953627,11.679163251985353,12.122675780541757,11.679163251985353,18169569,220263794.06,27.9532,,,否,,,,,,否,260000000,65000000,3151895702.94,787973925.74,,,,12.83,9.58,4.79,3.20,1.60,0.79,0.38,2020-11-06,-
2020-11-18,003018,金富科技,塑料制品,11.868066736370487,12.566188309098164,11.785934786637819,12.492269554338762,11.785934786637819,18510189,231234270.49,28.4772,,,否,,,,,,否,260000000,65000000,3247990084.13,811997521.03,,,,12.79,10.82,5.42,3.61,1.81,0.90,0.43,2020-11-06,-
2020-11-19,003018,金富科技,塑料制品,12.352645239793226,12.459416774445694,11.958411881076422,12.02411744086256,11.958411881076422,12461989,149844419.28,19.1723,,,否,,,,,,否,260000000,65000000,3126270534.62,781567633.66,,,,12.40,12.03,6.01,4.01,2.00,1.00,0.48,2020-11-06,-
